cas,teplota_aht,vlhkost_aht,teplota_bmp,tlak,nadm_vyska
2026-01-09 10:15,16.5,44.3,16.8,962.0,350
2026-01-09 11:14:19,18.5,38.8,18.8,960.2,364.4
2026-01-09 11:14:24,18.6,38.8,18.8,960.2,364.3
2026-01-09 11:14:29,18.6,38.8,18.7,960.1,365.0
2026-01-09 11:14:34,18.6,38.8,18.7,960.1,364.8
2026-01-09 11:14:40,18.6,38.8,18.7,960.2,364.2
2026-01-09 11:14:45,18.5,38.8,18.7,960.1,365.1
2026-01-09 11:14:50,18.6,38.9,18.7,960.2,364.3
2026-01-09 11:36:09,19.0,39.5,19.2,959.8,1000.6,349.8
2026-01-09 11:36:15,19.0,39.4,19.2,959.8,1000.6,349.8
2026-01-09 11:36:20,19.0,39.4,19.2,959.8,1000.6,349.8
2026-01-09 11:36:25,19.0,39.4,19.2,959.8,1000.6,349.8
2026-01-09 11:36:30,19.0,39.3,19.2,959.8,1000.6,349.8
2026-01-09 11:36:35,19.1,39.4,19.2,959.8,1000.6,349.8
2026-01-09 11:36:40,19.0,39.4,19.2,959.7,1000.5,349.8
2026-01-09 11:36:46,19.1,39.5,19.2,959.7,1000.5,349.8
2026-01-09 11:36:51,19.1,39.6,19.2,959.9,1000.7,349.8
2026-01-09 11:36:56,19.1,40.1,19.2,959.8,1000.6,349.8
2026-01-09 11:37:01,19.1,40.3,19.3,959.8,1000.6,349.8
2026-01-09 11:37:06,19.1,40.2,19.2,959.7,1000.5,349.8
2026-01-09 11:37:12,19.1,40.0,19.3,959.8,1000.6,349.8
2026-01-09 11:37:17,19.1,40.0,19.2,959.8,1000.6,349.8
2026-01-09 11:37:22,19.1,40.0,19.3,959.8,1000.6,349.8
2026-01-09 11:37:27,19.1,39.9,19.3,959.8,1000.6,349.8
2026-01-09 11:37:32,19.1,39.9,19.3,959.8,1000.6,349.8
2026-01-09 11:37:38,19.1,39.9,19.3,959.8,1000.6,349.8
2026-01-09 11:37:43,19.1,40.0,19.3,959.8,1000.6,349.8
2026-01-09 11:37:48,19.1,39.9,19.3,959.8,1000.6,349.8
2026-01-09 11:37:53,19.1,39.9,19.3,959.7,1000.5,349.8
2026-01-09 11:37:58,19.1,40.0,19.3,959.8,1000.6,349.8
2026-01-09 11:38:03,19.1,40.1,19.3,959.8,1000.6,349.8
2026-01-09 11:38:09,19.1,40.0,19.3,959.7,1000.5,349.8
2026-01-09 11:38:14,19.1,40.0,19.3,959.8,1000.6,349.8
2026-01-09 11:38:19,19.1,39.9,19.3,959.7,1000.5,349.8
2026-01-09 11:38:24,19.1,39.8,19.2,959.8,1000.6,349.8
2026-01-09 11:38:29,19.1,39.8,19.3,959.7,1000.5,349.8
2026-01-09 11:38:35,19.1,39.6,19.3,959.8,1000.6,349.8
2026-01-09 11:38:40,19.1,39.6,19.3,959.7,1000.5,349.8
2026-01-09 11:51:35,19.4,38.5,19.5,959.6,1000.4,349.9
2026-01-09 11:51:40,19.3,38.5,19.5,959.6,1000.4,349.9
2026-01-09 11:51:45,19.3,38.5,19.5,959.6,1000.4,349.9
2026-01-09 11:51:50,19.3,38.4,19.5,959.6,1000.4,349.9
2026-01-09 11:51:55,19.3,38.5,19.5,959.5,1000.3,349.9
2026-01-09 11:52:00,19.3,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:52:06,19.3,38.4,19.6,959.5,1000.3,349.9
2026-01-09 11:52:11,19.4,38.3,19.5,959.5,1000.3,349.9
2026-01-09 11:52:16,19.4,38.5,19.6,959.5,1000.3,349.9
2026-01-09 11:52:21,19.4,38.5,19.5,959.6,1000.4,349.9
2026-01-09 11:52:26,19.4,38.7,19.5,959.5,1000.3,349.9
2026-01-09 11:52:32,19.4,38.7,19.6,959.6,1000.4,349.9
2026-01-09 11:52:37,19.4,38.8,19.6,959.6,1000.4,349.9
2026-01-09 11:52:42,19.4,38.8,19.5,959.5,1000.3,349.9
2026-01-09 11:52:47,19.4,38.8,19.6,959.6,1000.4,349.9
2026-01-09 11:52:52,19.4,38.9,19.6,959.5,1000.3,349.9
2026-01-09 11:52:57,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:53:03,19.4,39.0,19.6,959.6,1000.4,349.9
2026-01-09 11:53:08,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:53:13,19.4,39.0,19.6,959.6,1000.4,349.9
2026-01-09 11:53:18,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:53:23,19.4,39.0,19.6,959.6,1000.4,349.9
2026-01-09 11:53:29,19.4,38.9,19.6,959.5,1000.3,349.9
2026-01-09 11:53:34,19.4,38.9,19.6,959.5,1000.3,349.9
2026-01-09 11:53:39,19.4,38.9,19.6,959.5,1000.3,349.9
2026-01-09 11:53:44,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:53:49,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:53:55,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:54:00,19.4,39.0,19.6,959.4,1000.2,349.9
2026-01-09 11:54:05,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:54:10,19.4,39.0,19.6,959.4,1000.2,349.9
2026-01-09 11:54:15,19.4,39.0,19.6,959.5,1000.3,349.9
2026-01-09 11:54:20,19.4,39.0,19.6,959.4,1000.2,349.9
2026-01-09 11:54:26,19.4,38.9,19.6,959.5,1000.3,349.9
2026-01-09 11:54:31,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:54:36,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:54:41,19.4,39.0,19.5,959.4,1000.2,349.9
2026-01-09 11:54:46,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:54:52,19.4,38.9,19.5,959.5,1000.3,349.9
2026-01-09 11:54:57,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:55:02,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:55:07,19.4,38.9,19.6,959.4,1000.2,349.9
2026-01-09 11:55:12,19.4,38.8,19.6,959.4,1000.2,349.9
2026-01-09 11:55:17,19.4,38.8,19.6,959.4,1000.2,349.9
2026-01-09 11:55:23,19.4,38.8,19.5,959.4,1000.2,349.9
2026-01-09 11:55:28,19.4,38.8,19.5,959.4,1000.2,349.9
2026-01-09 11:55:33,19.4,38.8,19.6,959.4,1000.2,349.9
2026-01-09 11:55:38,19.4,38.8,19.6,959.4,1000.2,349.9
2026-01-09 11:55:43,19.4,38.7,19.5,959.5,1000.3,349.9
2026-01-09 11:55:49,19.4,38.7,19.6,959.4,1000.2,349.9
2026-01-09 11:55:54,19.4,38.7,19.6,959.4,1000.2,349.9
2026-01-09 11:55:59,19.4,38.7,19.6,959.4,1000.2,349.9
2026-01-09 11:56:04,19.4,38.8,19.6,959.4,1000.2,349.9
2026-01-09 11:56:09,19.4,38.7,19.6,959.5,1000.3,349.9
2026-01-09 11:56:14,19.3,38.7,19.6,959.4,1000.2,349.9
2026-01-09 11:56:20,19.4,38.6,19.6,959.4,1000.2,349.9
2026-01-09 11:56:25,19.4,38.6,19.5,959.4,1000.2,349.9
2026-01-09 11:56:30,19.4,38.6,19.6,959.4,1000.2,349.9
2026-01-09 11:56:35,19.4,38.6,19.5,959.4,1000.2,349.9
2026-01-09 11:56:40,19.4,38.6,19.5,959.4,1000.2,349.9
2026-01-09 11:56:46,19.4,38.5,19.5,959.4,1000.2,349.9
2026-01-09 11:56:51,19.4,38.5,19.5,959.4,1000.2,349.9
2026-01-09 11:56:56,19.4,38.5,19.5,959.4,1000.2,349.9
2026-01-09 11:57:01,19.3,38.5,19.5,959.5,1000.3,349.9
2026-01-09 11:57:06,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:57:12,19.4,38.5,19.5,959.4,1000.2,349.9
2026-01-09 11:57:17,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:57:22,19.4,38.3,19.5,959.4,1000.2,349.9
2026-01-09 11:57:27,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:57:32,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:57:37,19.3,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:57:43,19.4,38.5,19.6,959.4,1000.2,349.9
2026-01-09 11:57:48,19.3,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:57:53,19.4,38.5,19.6,959.4,1000.2,349.9
2026-01-09 11:57:58,19.4,38.5,19.6,959.4,1000.2,349.9
2026-01-09 11:58:03,19.4,38.4,19.6,959.5,1000.3,349.9
2026-01-09 11:58:09,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:58:14,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:58:19,19.4,38.4,19.6,959.4,1000.2,349.9
2026-01-09 11:58:24,19.4,38.3,19.6,959.5,1000.3,349.9
2026-01-09 11:58:29,19.4,38.4,19.6,959.5,1000.3,349.9
2026-01-09 11:58:34,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:58:40,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:58:45,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:58:50,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:58:55,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:59:00,19.4,38.5,19.5,959.5,1000.3,349.9
2026-01-09 11:59:06,19.4,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:59:11,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:59:16,19.3,38.4,19.5,959.4,1000.2,349.9
2026-01-09 11:59:21,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:59:26,19.4,38.4,19.5,959.5,1000.3,349.9
2026-01-09 11:59:31,19.4,38.3,19.6,959.5,1000.3,349.9
2026-01-09 11:59:37,19.4,38.4,19.5,959.5,1000.3,349.9
